question,answer,score,level
What is the chemical formula for table salt?,Table salt is sodium chloride (NaCl).,10,Low
In what year did the United States land astronauts on the Moon for the first time?,The first crewed Moon landing (Apollo 11) was in 1969.,10,Low
What is the capital city of Japan?,Tokyo is the capital city of Japan.,10,Low
What gas do plants absorb during photosynthesis?,Plants absorb carbon dioxide (CO2) during photosynthesis.,10,Low
Who wrote the play Romeo and Juliet?,William Shakespeare wrote Romeo and Juliet.,10,Low
What is the largest planet in our solar system?,Jupiter is the largest planet in the Solar System.,10,Low
How many amendments does the U.S. Constitution have?,There are 27 amendments to the United States Constitution.,10,Low
What is the hardest natural substance on Earth?,Diamond is the hardest naturally occurring known material.,10,Low
What is the currency used in the United Kingdom?,The currency of the United Kingdom is the pound sterling (GBP).,10,Low
Which element has the chemical symbol “O”?,"The chemical symbol ""O"" stands for oxygen.",10,Low
What is the square root of 144?,The square root of 144 is 12.,10,Low
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,10,Low
What is the longest river in the world?,"The Nile and the Amazon are both cited. The Nile is often listed as the longest (~6,650 km), but some measurements make the Amazon longer.",80,High
What is the main language spoken in Brazil?,Portuguese is the main language spoken in Brazil.,10,Low
Which planet is known as the Red Planet?,Mars is known as the Red Planet.,10,Low
What organ in the human body is primarily responsible for detoxification?,The liver is primarily responsible for detoxification in the human body.,10,Low
"In computing, what does “CPU” stand for?",CPU stands for Central Processing Unit.,10,Low
Who was the first President of the United States?,George Washington was the first President of the United States.,10,Low
What is the boiling point of water at sea level in Celsius?,"At sea level, the boiling point of water is 100°C (212°F).",10,Low
What continent is the Sahara Desert located on?,The Sahara Desert is located in Africa.,10,Low
